1,select,JS,สำหรับการประกาศตัวแปรใน JavaScript คำสั่งใดที่ถูกต้อง?,,19/6/2023 13:17,19/6/2023 13:17
2,select,JS,"จากโค้ดต่อไปนี้ใน JavaScript:
let x = 5;
let y = ""10"";
let result = x + y;
ค่าของตัวแปร result คืออะไร?",,19/6/2023 13:17,19/6/2023 13:17
3,select,JS,"ใน JavaScript, คำสั่งใดที่ใช้ในการกำหนดเงื่อนไขเพื่อทำงานแบบเลือก (conditional)?",,19/6/2023 13:17,19/6/2023 13:17
4,select,JS,คำสั่งใดที่ใช้ในการเขียนข้อความลงในคอนโซล (console) ใน JavaScript?,,19/6/2023 13:17,19/6/2023 13:17
5,select,JS,"ใน JavaScript, การใช้งานโครงสร้างข้อมูลแบบ Array สามารถทำได้โดยใช้คำสั่งใด?",,19/6/2023 13:17,19/6/2023 13:17
6,select,JS,"สำหรับฟังก์ชันใน JavaScript, คำสั่งใดที่ใช้ในการส่งค่ากลับ (return value) จากฟังก์ชัน?",,19/6/2023 13:17,19/6/2023 13:17
7,key,JS,ฟังก์ชั่นคำนวณหาพื้นที่ (กว้าง * สูง) จงเติมคำในช่องว่าง,"function getArea(width,height) {        
  return Number( %i% ) * Number( %i1% );
}",19/6/2023 13:17,19/6/2023 13:17
8,key,JS,ฟังก์ชั่นคำนวณหาพื้นที่วงกลม (PI * r ** 2) จงเติมคำในช่องว่าง,"function calculateCircleArea(radius) {
  return  %i% .PI *  %i1%  **  %i2% ;
}",19/6/2023 13:17,19/6/2023 13:17
9,key,JS,ผลลัพธ์จากการ log จะได้เป็นอย่างไร,"const fruits = [""apple"", ""orange"", ""papaya""];
fruits.forEach((fruit, index) => {
  if (index === 1) {
    return;
  } else {
    return console.log(fruit);
  }
});
 %i% ",19/6/2023 13:17,19/6/2023 13:17
10,key,JS,จงประกาศประเภทของตัวแปรต่อไปนี้ และ ผลลัพธ์จากการ log จะได้เป็นอย่างไร," %i%  date = new Date();
date = ""today"";
 %i1% text = ""Hello World!"";
var text = ""Hi!"";

console.log(text);
 %i2% ",19/6/2023 13:17,19/6/2023 13:17
