1,1,all of the above,all of the above (ทั้งหมดข้างต้น),,,19/6/2023 13:17,19/6/2023 13:17
2,2,"""510""",,,,19/6/2023 13:17,19/6/2023 13:17
3,3,if,,,,19/6/2023 13:17,19/6/2023 13:17
4,4,log(),,,,19/6/2023 13:17,19/6/2023 13:17
5,5,new Array(),,,,19/6/2023 13:17,19/6/2023 13:17
6,6,return,,,,19/6/2023 13:17,19/6/2023 13:17
7,7,width,height,,,19/6/2023 13:17,19/6/2023 13:17
8,7,height,width,,,19/6/2023 13:17,19/6/2023 13:17
9,8,Math,,,,19/6/2023 13:17,19/6/2023 13:17
10,8,radius,,,,19/6/2023 13:17,19/6/2023 13:17
11,8,2,,,,19/6/2023 13:17,19/6/2023 13:17
12,9,"apple,papaya",,,,19/6/2023 13:17,19/6/2023 13:17
13,10,let,var,,,19/6/2023 13:17,19/6/2023 13:17
14,10,var,,,,19/6/2023 13:17,19/6/2023 13:17
15,10,Hi!,,,,19/6/2023 13:17,19/6/2023 13:17
16,11,"2,3,5,7,11",,,,19/6/2023 13:17,19/6/2023 13:17
17,12,"New York,30",,,,19/6/2023 13:17,19/6/2023 13:17
18,13,favoriteColor,,,,19/6/2023 13:17,19/6/2023 13:17
19,13,default,,,,19/6/2023 13:17,19/6/2023 13:17
20,14,0,,,,19/6/2023 13:17,19/6/2023 13:17
21,14,i++,i+=1,,,19/6/2023 13:17,19/6/2023 13:17
22,15,pop(),,,,19/6/2023 13:17,19/6/2023 13:17
23,16,shift(),,,,19/6/2023 13:17,19/6/2023 13:17
24,17,push,,,,19/6/2023 13:17,19/6/2023 13:17
25,17,newAnswer,,,,19/6/2023 13:17,19/6/2023 13:17
26,18,[1],at(1),,,19/6/2023 13:17,19/6/2023 13:17
27,18,newAnswer,,,,19/6/2023 13:17,19/6/2023 13:17
28,19,replace,,,,19/6/2023 13:17,19/6/2023 13:17
29,20,includes,,,,19/6/2023 13:17,19/6/2023 13:17
30,21,Model View Controller,,,,19/6/2023 13:17,19/6/2023 13:17
31,22,V,,,,19/6/2023 13:17,19/6/2023 13:17
32,23,M,,,,19/6/2023 13:17,19/6/2023 13:17
33,24,DB_NAME,,,,19/6/2023 13:17,19/6/2023 13:17
34,25,Radio,,,,19/6/2023 13:17,19/6/2023 13:17
35,26,array_splices(),,,,19/6/2023 13:17,19/6/2023 13:17
36,27,$totalSum,,,,19/6/2023 13:17,19/6/2023 13:17
37,28,array_unique,,,,19/6/2023 13:17,19/6/2023 13:17
38,29,strtoupper,,,,19/6/2023 13:17,19/6/2023 13:17
39,29,strtolower,,,,19/6/2023 13:17,19/6/2023 13:17
40,30,rsort,,,,19/6/2023 13:17,19/6/2023 13:17
41,31,$favcolor,,,,19/6/2023 13:17,19/6/2023 13:17
42,31,default,,,,19/6/2023 13:17,19/6/2023 13:17
43,32,foreach,,,,19/6/2023 13:17,19/6/2023 13:17
44,32,as,,,,19/6/2023 13:17,19/6/2023 13:17
45,33,for,,,,19/6/2023 13:17,19/6/2023 13:17
46,33,i++,,,,19/6/2023 13:17,19/6/2023 13:17
47,34,<,,,,19/6/2023 13:17,19/6/2023 13:17
48,35,"$_POST[""fname""]",,,,19/6/2023 13:17,19/6/2023 13:17
49,36,json_encode,,,,19/6/2023 13:17,19/6/2023 13:17
50,37,$this->name,,,,19/6/2023 13:17,19/6/2023 13:17
51,37,$this->age,,,,19/6/2023 13:17,19/6/2023 13:17
52,37,$this->gender,,,,19/6/2023 13:17,19/6/2023 13:17
53,38,$rec->getArea(),,,,19/6/2023 13:17,19/6/2023 13:17
54,39,extends,,,,19/6/2023 13:17,19/6/2023 13:17
55,40,__construct,construct,,,19/6/2023 13:17,19/6/2023 13:17
